num,text,label
232,"Ankaralı Akın Karanfil, 1994 <ekonomik> kriz ve döviz kurlarındaki değişikliklerini gerekçe göstererek, 1992 yılında bir banka ile imzaladığı kredi kontratındaki geri ödeme koşullarının iyileştirilmesi talebiyle başlattığı yargı sürecinin ancak 2006 yılında sonuçlanması nedeniyle AİHM'ye yaptığı şikayete ilişkin açılan davada Türkiye haksız bulundu. Bunun üzerine AİHM, adil yargılanma hakkının ihlal edildiğine hükmederek Karanfil'e 8 bin 400 Avro manevi tazminata ödemesine karar verdi.",0
693,"Dün tedavi gördüğü hastanede 88 yaşında yaşamını yitiren Çetin Altan için Milliyet Gazetesi'nin Çağlayan'daki binası önünde tören düzenledi. Törene Altan'ın oğulları Mehmet Altan, Ahmet Altan, kızı Zeynep Bakan, torunu Sanem Altan, Demirören Holding Yönetim Kurulu Başkanı Erdoğan Demirören, Milliyet Gazetesi Genel Yayın Yönetmeni Fikret Bila ve gazete çalışanları katıldı. Törende Altan için helallik alındı. Altan'ın <naaşı> daha sonra cenazenin yapılacağı Teşvikiye Camii'ne götürüldü.",1
187,"Sibirya'da Ulan - Ude kenti yakınlarında tren raylarında partneriyle <cinsel ilişkiye giren> kadının, gelen treni fark etmeyince kafası koptu. Habertürk'te yer alan habere göre; kimlikleri belirtilmeyen ancak evsiz oldukları öğrenilen bir kadınla bir erkek Ulan - Ude dışında rayların hemen yanında seks yapmaya başladı. Polis açıklamasına göre, seks sırasında üstte olan ve başını rayın üstüne uzatan kadın gelen treni fark etmeyince kafası koparak hayatını kaybetti.",1
72,"Sözcüsü Chris Miller, 38 yaşındaki Barrymore ve eşi Will Kopelman'ın ikinci çocuklarını <beklediklerini> söyledi. Barrymore ve Kopelman'ın 13 aylık Olive adında bir kızları var. Çift, 2012 yılı haziran ayında evlenmişti. Chanel'in eski üst yöneticisi Arie Kopelman'ın oğlu olan Will Kopelman, sanat danışmanlığı yapıyor.",1
890,"Türkiye Kamu - Sen Konfederasyonu, Temmuz ayı Açlık - <Yoksulluk> Sınırı Araştırması'nı açıkladı. Araştırmaya göre, Temmuz ayında ailenin gıda ve giyim harcamaları azalırken, haberleşme, kira ve ulaşım harcamaları arttı. Bir ailenin açlık sınırının bin 69 TL olduğu belirlenirken, yoksulluk sınırı ise 2 bin 803 TL olarak hesaplandı. Çalışan tek kişinin yoksulluk sınırı bin 400 TL oldu. Dört kişilik bir ailenin aylık gıda harcamasının 608 TL, ortalama kira giderinin ise 466 TL olduğu belirlendi.",1
719,"PETKİM'in KAP'ta yayımlanan açıklamasında, <Saf> Tereftalik Asit (PTA) fabrikası kapasite artış yatırımıyla ilgili imzalanan sözleşme kapsamında temel ve detay mühendislik ve ekipman / malzeme tedariğiyle ilgili APEXTECH ile toplam 14 milyon 350 bin dolarlık sözleşme imzalandığı duyuruldu. Kapasite artışı yatırımının 2 yılda tamamlanmasının planlandığı, yatırım sonrası PTA fabrikasının yıllık üretim kapasitesinin yüzde 50 artışla yıllık 70 bin tondan 105 bin tona çıkacağı kaydedildi.",0
678,"""Yok böyle şey, hepiniz toplanacaksınız haftanın <muayyen günlerinde> bineceksiniz,  bu bizim babamızın malı değildir.""",0
573,"Altın fiyatları bugün açıklanacak tarım dışı istihdam verilerinin öncesinde dolardaki yükselişle beraber altı haftanın en büyük haftalık <kaybını> yaşamaya hazırlanıyor. Spot altının ons fiyatı yatay bir seyirle 1,278.70 dolardan işlem görürken, haftalık bazda yüzde 1.2 kayıp gerçekleştirmeye hazırlanıyor. ÇEYREK ALTIN NE KADAR? Kapalıçarşı'da altının gramı 120,60, çeyrek altın 198,56 liradan işlem görüyor.",0
377,Dr. Sadullah Ağabey'imiz 1972 Ağustos'unun sonlarında bir trafik  kazası ile Cenab - ı <Hakk'ın rahmetine kavuştu>.,1
356,"Yedi yıl önce panik atak hastası olduğunu ifade eden 28 yaşındaki oyuncu, ""Evimin yandığına inanıyor, bunu hissedebiliyordum. <Göğsüm> daralıyor ve nefes alamıyordum. Dünyanın sonu gibiydi"" dedi. Bu hastalığı yenmek için tiyatro kursuna yazılan Stone, ""Panik ataktan kurtulmanın tek yolu doğaçlama yaşamak oldu"" şeklinde konuştu.",0
601,"Polis memuru Faruk Ahmed, yoldan çıkan otobüsün, bölge başkenti Muzafferabad'a yaklaşık 60 kilometre uzaklıktaki Reelam Nehri'ne yuvarlandığını belirtti. Yoldaki koyun sürüsünden kaçmak isteyen şoförün otobüsün kontrolünü <kaybetmiş> olabileceğini kaydeden Ahmed, kazayla ilgili soruşturma başlatıldığını söyledi.",0
558,"Kanser tedavisi gördüğü hastanede dün hayatını <kaybeden> sanatçı Murat Göğebakan, son yolculuğuna uğurlandı. Cenaze törenine Başbakan Recep Tayyip Erdoğan yanı sıra sanatçılar, Göğebakan'ın yakınları ve sevenleri katıldı. Cenaze töreninin ardından Erdoğan, Göğebakan'ın tabutuna omuz verdi. Fatih Camii'nde kılınan cenaze namazın ardından Göğebakan'ın cenazesi toprağa verilmek üzere Adana'ya gönderildi. MURAT GÖĞEBAKAN'A VEDA - FOTO GALERİ",1
235,"Maliye Bakanlığı'ndan yapılan açıklamaya göre, Maliye Bakanı Evangelos Venizelos, Avro Grubu Başkanı Jean - Claude Juncker, AB Komisyonunun <ekonomik> ve parasal işlerden sorumlu üyesi Olli Rehn Ve Almanya Maliye Bakanı Wolfgang Schaeuble ile yaptığı telefon görüşmesinde, refarandum planından vazgeçtiklerini aktardı. Açıklamada, ""Venizelos, muhataplarını referandum yapılmayacağı kararı konusunda bilgilendirdi"" denildi.",0
242,"El Arabiya’nın haberine göre, beş aydır maaşlarını alamayan ve çoğunluğu yabancılardan oluşan işçiler olayı protesto amacıyla şirkete ait otobüsleri yaktı. Suudi Arabistan’da yaşanan <ekonomik> kriz Bin Ladin Grubu’nu da vurmuş ve şirket son aylarda 50 bin kişiyi işten çıkarmıştı.",0
491,"İZMİR Milliyet Firma, piyasaya sunduğu yepyeni ürünleriyle sektördeki yerini sağlamlaştırırken gelişmiş teknolojili ürün özellikleriyle de <ihtiyaç sahiplerine> büyük kolaylıklar sağlıyor. ‘Hermetik Doğalgazlı Şofben’, ‘ECS Üç Geçişli Çelik Gövdeli Kalorifer Kazanı’ ve ‘Euromat EKY / S Serisi Otomatik Sürücülü Kat Kaloriferi’yle sınıfının en üstün özellikli ısıtma sistemlerini piyasaya süren Termodinamik, sektörde devrim yaratmaya hazırlanıyor. Etiketler:",0
446,"IHA Türkiye Spor Yazarları Derneği (TSYD) eski başkanlarından Onur Belge hayatını kaybetti. TSYD eski başkanlarından, gazeteci ve spor yazarı Belge’nin ani bir kalp krizi sonucu <hayata gözlerini yumduğu> öğrenildi. Onur Belge’nin cenazesi yarın Kınalıada Camisi’nde ikindi vakti kılınacak cenaze namazının ardından toprağa verilecek. Etiketler: spor , Onur Belge , İstanbul Haberleri « önceki haber sonraki haber »",1
392,"""Not: Taziye için  oğlu Mehmet Hilmi Akyüz, Ev: (364) 227 21  85 İş: (364) 224 32 45 Cep: 0  532 614 7891 e - mail: mhacorum@hotmail.com Mahmut Özdoğan: Kuduzlar  köyünden Omer Özdoğan ile SalihaÖzdoğan'ın oğlu Mahmut Özdoğan 11 Nisan 2004 tarihinde  <hakkın rahmetine kavuşmuştur> Allah (CC) rahmet eylesin hem merhum hemde  kardeşleri Çorum'da herkesin yardımına koşan, bol bol hayırlarda bulunan iyilik sever  insanlardır.""",1
843,"Bir süredir tansiyona bağlı sağlık sorunları nedeniyle yoğun bakımda tedavi gören Tamer Karadağlı'nın babası Turgay Karadağlı dün <vefat etti>. Karadağlı için bugün öğle namazını mutakebin kılanan cenaze namazına Tamer Karadağlı'nın yanısıra aile fertleri katıldı. Kılanan cenaze namazın ardından Karadağlı, Gölbaşı Mezarlığı'nda toprağa verildi.",1
782,"ABD'NİN Cape Cod koyunda karaya vuran 9 balina ve 24 yunus öldü. Karaya vuran hayvanlarla ilgili çalışmalarda bulunan ""Cape Code Stranding Network (Cape Cod Karayavuruş Şebekesi) yetkilisi Kristen Patchett, hayatta kalan 5 balina ile 7 yunusun ise <uyutulması> gerektiğini belirtti. Yetkililer, geçen Cuma günkü kar fırtınasının etkisiyle oluşan rüzgârların balina ve yunusların sığ sularda mahsur kalmalarına yol açmış olmasından şüpheleniyor.0",1
10,"Müdavimleri arasında gazeteci, edebiyatçı, oyuncu ve her türden sanatçının yer aldığı efsane meyhane yaza büyük bir atılım yaparak giriyor. Üç yıl önce <aramızdan ayrılan> Yakup Arslan’dan görevi devralan Yıldıray ve Ufuk Arslan’ın, Mystaff İnsan Kaynakları işbirliğiyle hayata geçirdiği Yakup 2 Bosphorus, klasikleşmiş lezzetlerini yenilenen mutfaklarıyla bir üst seviyeye taşıyarak misafirlerine hizmet vermeyi amaçlıyor. Etiketler: Beyoğlu , İstanbul",1
